"","hitting_player","shots_played","agg"
"138","Jack Sock",666,4.79279279279279
"139","Jakub Mensik",921,4.74592833876221
"140","James Duckworth",1096,4.9735401459854
"141","Jan Choinski",479,5.24008350730689
"142","Jan Lennard Struff",3460,5.13294797687861
"143","Jannik Sinner",42625,4.93663343108503
"144","Jason Jung",530,4.52830188679245
"145","Jason Kubler",1461,5.05270362765229
"146","Jaume Munar",3726,4.67713365539452
"147","Javier Barranco Cosano",500,4.762
"148","Jelle Sels",1637,4.85339034819792
"149","Jenson Brooksby",10841,4.81855917350797
"150","Jeremy Chardy",1011,5.04253214638971
"151","Jerzy Janowicz",195,5.04615384615385
"152","Jesper De Jong",1542,5.09533073929961
"153","Jiri Lehecka",7446,4.89712597367714
"154","Jiri Vesely",1473,5.20434487440597
"155","Jo Wilfried Tsonga",1275,4.93254901960784
"156","Joao Menezes",569,4.87697715289982
"157","Joao Sousa",228,5.07017543859649
"158","John Isner",6392,5.17506257822278
"159","John Millman",5787,4.94107482287887
"160","Jordan Thompson",3941,4.91880233443289
"161","Joris De Loore",362,4.89779005524862
"162","Jozef Kovalik",741,5.08502024291498
"163","Juan Ignacio Londero",644,4.72981366459627
"164","Juan Manuel Cerundolo",1363,4.7571533382245
"165","Juan Martin Del Potro",281,4.72241992882562
"166","Juan Pablo Varillas",3283,4.98020103563814
"167","Jurij Rodionov",690,5.1695652173913
"168","Karen Khachanov",10449,4.83778351995406
"169","Karim Mohamed Maamoun",737,5.05970149253731
"170","Kei Nishikori",1234,4.87925445705024
"171","Kevin Anderson",510,5.22352941176471
"172","Kimmer Coppejans",437,4.8604118993135
"173","Kyle Edmund",451,4.82926829268293
"174","Laslo Djere",6002,4.83105631456182
"175","Laurent Lokoli",950,5.12947368421053
"176","Leandro Riedi",730,5.01917808219178
"177","Learner Tien",1228,4.84527687296417
"178","Leo Borg",251,4.59362549800797
"179","Li Tu",577,4.83535528596187
"180","Liam Broady",516,4.88565891472868
"181","Lloyd Harris",1044,5.04789272030651
"182","Lorenzo Musetti",11832,4.90652467883705
"183","Lorenzo Sonego",6012,4.8394876912841
"184","Luca Nardi",730,5.01369863013699
"185","Luca Van Assche",808,4.91707920792079
"186","Lucas Catarina",846,4.9822695035461
"187","Lucas Pouille",569,5.15992970123023
"188","Luciano Darderi",507,4.58579881656805
"189","Lukas Klein",440,5.20681818181818
"190","Lukas Lacko",266,5.20300751879699
"191","Mackenzie Mcdonald",2993,5.16438356164384
"192","Malek Jaziri",783,4.65900383141763
"193","Marc Andrea Huesler",2210,5.15701357466063
"194","Marc Polmans",932,4.76824034334764
"195","Marco Cecchinato",2895,5.05146804835924
"196","Marcos Giron",4714,4.88184132371659
"197","Mariano Navone",343,4.44314868804665
"198","Marin Cilic",9182,4.97375299499019
"199","Martin Cuevas",480,4.69583333333333
"200","Martin Landaluce",288,4.9375
"201","Marton Fucsovics",9820,4.71120162932791
"202","Mateus Alves",336,4.88690476190476
"203","Matteo Arnaldi",986,5.01419878296146
"204","Matteo Berrettini",17620,4.78711691259932
"205","Mattia Bellucci",1196,5.02257525083612
"206","Matwe Middelkoop",238,4.9327731092437
"207","Max Hans Rehberg",547,4.91224862888483
"208","Max Houkes",533,5.12570356472795
"209","Max Purcell",1738,4.5391254315305
"210","Maxime Cressy",9088,5.29819542253521
"211","Maximilian Neuchrist",547,5.02376599634369
"212","Michael Geerts",230,4.70434782608696
"213","Michael Mmoh",649,4.96147919876733
"214","Michael Zheng",439,4.87243735763098
"215","Mikael Ymer",5640,4.71010638297872
"216","Mikhail Kukushkin",3006,4.90485695276114
"217","Mili Poljicak",794,5.09823677581864
"218","Miljan Zekic",441,4.59637188208617
"219","Milos Raonic",1811,5.0662617338487
"220","Miomir Kecmanovic",9904,4.81078352180938
"221","Mischa Zverev",369,4.74525745257453
"222","Mohamed Safwat",566,5.01060070671378
"223","Nick Kyrgios",13748,5.15871399476287
"224","Nicola Kuhn",438,4.99086757990868
"225","Nicolas Alvarez Varona",332,4.95481927710843
"226","Nicolas Jarry",6482,4.92887997531626
"227","Nicolas Mahut",250,4.824
"228","Nicolas Mejia",1286,4.85536547433904
"229","Niels Opdam",309,4.45307443365696
"230","Nikoloz Basilashvili",3581,4.84836637810667
"231","Nino Serdarusic",249,4.93975903614458
"232","Norbert Gombos",285,5
"233","Novak Djokovic",43780,5.00459113750571
"234","Nuno Borges",3033,4.89350478074514
"235","Oleksandr Ovcharenko",408,4.64705882352941
"236","Oleksii Krutykh",1064,4.81296992481203
"237","Oscar Otte",1320,5.02272727272727
"238","Otto Virtanen",1254,5.1371610845295
"239","Pablo Andujar",2049,4.91312835529527
"240","Pablo Carreno Busta",8428,4.84420977693403
"241","Pablo Cuevas",288,4.88541666666667
"242","Paul Jubb",1666,4.81452581032413
"243","Pavel Kotov",1069,4.9710009354537
"244","Pedro Cachin",1440,4.88472222222222
"245","Pedro Martinez",5938,4.95823509599192
"246","Peter Gojowczyk",1947,4.90035952747817
"247","Pierre Hugues Herbert",2007,5.29247633283508
"248","Prajnesh Gunneswaran",999,4.94794794794795
"249","Quentin Halys",1328,5.19126506024096
"250","Radu Albot",1823,4.85792649478881
"251","Rafael Nadal",18324,4.9477734119188
"252","Raul Brancaccio",286,5.02447552447553
"253","Reilly Opelka",9404,5.08868566567418
"254","Renzo Olivo",735,4.72789115646258
"255","Ricardas Berankis",584,5.13527397260274
"256","Richard Gasquet",6188,4.91386554621849
"257","Rinky Hijikata",330,4.90606060606061
"258","Rio Noguchi",192,4.59375
"259","Roberto Bautista Agut",14406,4.87539913924754
"260","Roberto Carballes Baena",3953,4.8135593220339
"261","Roberto Marcora",178,5.12921348314607
"262","Roberto Quiroz",348,4.71551724137931
"263","Robin Haase",4869,4.83528445265968
"264","Roger Federer",7511,5.08028225269604
"265","Roman Andres Burruchaga",421,5.06175771971496
"266","Roman Safiullin",2456,5.00732899022801
"267","Salvatore Caruso",808,4.94430693069307
"268","Sam Querrey",1153,5.2307025151778
"269","Sascha Gueymard Wayenburg",343,4.85422740524781
"270","Sebastian Baez",10819,4.85922913393106
"271","Sebastian Korda",8095,5.0485484867202
"272","Sebastian Ofner",1235,5.03805668016194
"273","Sergey Fomin",395,4.74430379746835
"274","Sergiy Stakhovsky",559,4.8515205724508
"275","Sho Shimabukuro",310,4.98064516129032
"276","Soon Woo Kwon",2052,4.9995126705653
"277","Stan Wawrinka",10817,4.79911250808912
"278","Stefan Kozlov",841,4.93935790725327
"279","Stefanos Tsitsipas",35685,5.05122600532437
"280","Steve Darcis",1299,4.17321016166282
"281","Steve Johnson",2673,4.78713056490834
"282","Steven Diez",544,5.3125
"283","Sumit Nagal",393,5.05343511450382
"284","Tallon Griekspoor",17802,5.010279743849
"285","Taro Daniel",807,4.91573729863693
"286","Taylor Fritz",16287,4.94590777921041
"287","Tennys Sandgren",3291,4.93254329990884
"288","Thanasi Kokkinakis",5561,4.88761014206078
"289","Thiago Agustin Tirante",1160,5.0301724137931
"290","Thiago Monteiro",1803,4.96450360510261
"291","Thiago Seyboth Wild",3062,4.99967341606793
"292","Thomaz Bellucci",340,5.01176470588235
"293","Tim Van Rijthoven",5935,4.92350463352991
"294","Timofey Skatov",499,4.81563126252505
"295","Tomas Barrios Vera",564,5.0886524822695
"296","Tomas Machac",2200,5.08818181818182
"297","Tomas Martin Etcheverry",3271,4.9672882910425
"298","Tommy Paul",11784,4.84054650373387
"299","Tommy Robredo",297,4.8047138047138
"300","Tristan Schoolkate",276,5.19565217391304
"301","Tung Lin Wu",455,5.22637362637363
"302","Ugo Blanchet",485,5.01237113402062
"303","Ugo Humbert",1142,4.98949211908932
"304","Vasek Pospisil",3117,5.03561116458133
"305","Viktor Durasovic",675,5.29333333333333
"306","Viktor Troicki",534,4.92322097378277
"307","Wai Lung Chung",292,4.4486301369863
"308","Yannick Hanfmann",1188,5.20538720538721
"309","Yasutaka Uchiyama",871,5.14810562571757
"310","Yibing Wu",1788,4.97427293064877
"311","Yoshihito Nishioka",6574,4.75068451475509
"312","Yosuke Watanuki",927,5.25997842502697
"313","Younes Lalami Laaroussi",197,5.19796954314721
"314","Yu Hsiou Hsu",424,4.95518867924528
"315","Yuichi Sugita",223,5.16143497757848
"316","Zdenek Kolar",1296,4.94830246913581
"317","Zhizhen Zhang",828,5.07971014492754
"318","Zizou Bergs",893,5.09182530795073
"319","Zsombor Piros",257,5.1011673151751
